Type,Num,Genus,Species,Family,ComName,Location,Collector,Contributor,Date,Notes
L,327,Sassafras,Unknown,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,328,Robinia,Pseudacacia,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,329,Ulmus,Americana,Unknown,"Unknown","Tweed, Ont.","H.W. Crosbie","",01-Jan-1932,""
L,330,Fraxinus,Nigra,Unknown,"Unknown","Tweed, Ont.","H.W. Crosbie","",01-Jan-1932,""
L,331,Fraxinus,Nigra,Unknown,"Unknown","Tweed, Ont.","H.W. Crosbie","",01-Jan-1933,""
L,332,Fagus,Unknown,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,333,Castanea,Unknown,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,334,Catalpa,Unknown,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,335,Prunus,Unknown,Unknown,"Unknown","","Commercial","",NaT,"(With gummosis)"
L,336,Quercus,Alba,Unknown,"Unknown","","Commercial","",NaT,""
L,337,Quercus,Alba,Unknown,"Unknown","Canada","Commercial","",01-Jan-1932,""
L,338,Pinus,Resinosa,Unknown,"Unknown","Fort Frances","","Shevlin Clarke Co.",01-Jan-1932,""
L,339,Pinus,Unknown,Unknown,"Southern Yello","","Commercial","",01-Jan-1932,""
L,340,Carya,Unknown,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,341,Nyssa,Sylvatica,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,342,Carpinus,Caroliniana,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,343,Cornus,Florida,Unknown,"Unknown","St. Williams, Ont.","F.S. Newman","",01-Jan-1932,""
L,344,Fraxinus,Excelsior,Unknown,"Unknown","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,345,Fagus,Sylvatica,Unknown,"Beech (Kiln dried)","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,346,Fagus,Sylvatica,Unknown,"Beech (air dried)","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,347,Pseudotsuga,Taxifolia,Unknown,"Douglas fir","Great Britain","J.R. Cosgrove","",01-Jan-1932,"British Grown"
L,348,Ulmus,Campestris,Unknown,"Common Elm","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,349,Ulmus,Major,Unknown,"Dutch elm","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,350,Ulmus,Glabra,Unknown,"Wych elm","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,351,Casranea,Sativa,Unknown,"Sweet Chestnut","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,352,Picea,Abies,Unknown,"Spruce White deal","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,353,Picea,Sitchensis,Unknown,"Sitka Spruce","Great Britain","J.R. Cosgrove","",01-Jan-1932,"British Grown"
L,354,Pinus,Sylvestris,Unknown,"Scots pine","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,355,Pinus,Pinaster,Unknown,"Maritime pine","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,356,Zelkova,Crenata,Unknown,"Unknown","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,357,Juglans,Regia,Unknown,"Walnut","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,358,Quercus,Robur,Unknown,"Oak","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,359,Taxus,Baccata,Unknown,"Yew","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,360,Populus,Unknown,Unknown,"Poplar","Great Britain","J.R. Cosgrove","",01-Jan-1932,""
L,361,Nothofagus,Cunninghamii,Unknown,"Unknown","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
